,cust_no,Recency,Frequency,Monetary
44238,0xb2d3bd01,247,2.0,300082.56200000003
44239,0xb2d162cd,447,100.0,2889.603333333334
44240,0xb2d28fc3,380,9.0,103501.52833333332
44241,0xb2d176f2,406,12.0,420020.156
44242,0xb2d53d22,95,4.0,81294.62333333334
44243,0xb2d34813,364,8.0,2054.9
44247,0xb2d55279,284,9.0,149676.67
44248,0xb2d16b31,270,10.0,16511.983333333334
44251,0xb2d63a5d,189,7.0,80000.55
44254,0xb2d1a47c,274,189.0,3248.9733333333334
44255,0xb2d57973,105,2.0,40902.1325
44256,0xb2d37258,198,10.0,4345662.11
44257,0xb2d69a4b,181,33.0,3806.963333333333
44258,0xb2d6a402,101,139.0,2141.853333333333
44259,0xb2d0e263,215,4.0,23080.666666666668
44260,0xb2d0694f,404,55.0,35459.155
44261,0xb2d28d6b,212,3.0,897942.9166666666
44262,0xb2d6cd12,154,3.0,300015.228
44265,0xb2d69712,93,8.0,257.2333333333333
44266,0xb2d4739b,322,2.0,104475.682
44272,0xb2d60f3a,179,3.0,122044.39
44273,0xb2d3ee03,436,16.0,500007.73625
44275,0xb2d0d9b4,632,4.0,905054.305
44277,0x3b9b4643,520,40.0,37461.72
44278,0xb2d2d5b6,518,7.0,96963.64833333332
44280,0xb2d586c3,186,1.0,1309380.6866666668
44281,0xb2d200dd,156,4.0,1762033.6416666666
44283,0xb2d28ff0,382,3.0,24003.29
44284,0xb2d23a79,377,3.0,103801.36571428573
44285,0xb2d6e00e,114,26.0,2282.33
44286,0xb2d681ca,104,1.0,20093.994
44288,0xb2d1b56b,599,7.0,4295.56
44292,0xb2d7fc33,91,13.0,97618.70714285714
44293,0xb2d07d92,142,5.0,91443.27375
44297,0xb2d43c42,151,11.0,401010.99333333335
44298,0xb2d2d133,367,3.0,119442.37833333334
44299,0xb2d512e3,208,6.0,3305.14
44300,0xb2d61a26,250,10.0,150729.96666666667
44302,0xb2d2e918,549,10.0,370373.5816666667
44303,0xb2d0e8bd,511,3.0,159578.87
44305,0xb2d69b2c,96,6.0,5255.0233333333335
44306,0xb2d128a4,208,55.0,1311458.5266666666
44307,0xb2d1d1cd,97,1.0,126258.56833333334
44308,0xb2d65b6c,193,15.0,150982.58333333337
44309,0xb2d5ff98,218,11.0,153140.63
44310,0xb2d4f3d2,351,4.0,150419.14333333334
44312,0xb2d42b0b,93,5.0,1000024.5866666666
44313,0xb2d6f0cd,101,39.0,1733.28
44314,0xb2d17119,516,12.0,29383.896666666667
44315,0x3b9b2318,182,41.0,1375775.05
44316,0xb2d32b00,230,39.0,2523249.191666667
44317,0xb2d5ccbc,288,3.0,162245.64833333332
44321,0xb2d21436,204,2.0,150567.13642857145
44323,0xb2d6a35a,161,29.0,17393.077142857142
44324,0xb2d330a0,191,7.0,6965.483333333334
44325,0xb2d40c57,237,15.0,1123041.326
44326,0xb2d64708,161,6.0,94124.91666666669
44327,0xb2d4390f,245,9.0,211671.0083333333
44328,0xb2d323dd,395,16.0,6812.063333333333
44330,0xb2d1fdc5,195,27.0,1711417.2416666665
44333,0x3b9b42dd,172,4.0,207165.72
44334,0xb2d48757,398,6.0,906460.1625
44336,0xb2d6941e,185,5.0,180019.59
44337,0xb2d62b72,125,5.0,23499.31333333333
44339,0xb2d279e8,381,4.0,70982.38
44342,0xb2d65e03,221,2.0,4828.43
44343,0xb2d4257d,453,5.0,100445.04333333332
44344,0xb2d42d81,183,79.0,1574.9733333333336
44345,0xb2d3a04b,390,6.0,721106.544
44347,0x3b9b0fd7,115,105.0,492612.50666666665
44348,0xb2d3abc1,456,4.0,440006.73
44351,0xb2d5b6cc,165,4.0,10098.506666666666
44353,0xb2d10546,153,2.0,206592.388
44354,0xb2d224da,521,299.0,162017.30000000002
44355,0xb2d2b789,464,3.0,542979.5666666668
44356,0xb2d28036,621,22.0,143559.49
44357,0xb2d5c4bb,128,1.0,0.6266666666666666
44358,0xb2d3ad26,93,16.0,63757.16555555554
44361,0xb2d1edae,347,2.0,94158.68916666666
44365,0xb2d4a3bc,183,452.0,2865.6666666666665
44367,0xb2d420ee,184,86.0,11224.3
44368,0xb2d41f2c,427,3.0,83872.23666666666
44369,0xb2d617c8,188,10.0,119008.32
44374,0xb2d0db9d,430,12.0,4159074.0866666655
44377,0xb2d15325,534,2.0,263440.7375
44381,0xb2d0f63a,126,3.0,188968.07
44382,0xb2d6453d,254,11.0,403586.6616666667
44383,0xb2d5dcc4,274,3.0,2388911.005555556
44384,0xb2d06d06,108,18.0,380693.2366666666
44385,0xb2d34747,283,2.0,454895.863
44386,0xb2d2042b,255,3.0,592479.152
44389,0xb2d0b31d,369,3.0,235893.39
44390,0xb2d58036,381,24.0,27398.33
44392,0xb2d45d00,211,3.0,100023.12333333337
44394,0xb2d071b9,557,71.0,3698.7333333333336
44395,0x3b9b3d94,466,80.0,1409.0233333333335
44399,0xb2d44d3d,348,1.0,5.62
44400,0xb2d6a2b2,102,13.0,92094.53555555554
44401,0xb2d56f98,106,2.0,453067.33555555553
44402,0x3b9b4667,387,113.0,864.0766666666667
44403,0xb2d2c1c4,363,3.0,283841.22
44404,0xb2d4342c,535,9.0,166558.506
44409,0xb2d34435,214,4.0,1730370.68
44413,0xb2d52468,201,23.0,11977.29
44414,0xb2d12c76,189,179.0,138343.46333333332
44416,0x3b9b2de9,200,85.0,1389.79
44418,0xb2d7c13e,105,46.0,233150.2033333333
44420,0xb2d5ba23,337,2.0,200977.53333333333
44421,0xb2d424e4,290,11.0,211583.77
44422,0xb2d43b1f,213,6.0,1393108.15
44423,0xb2d5cc4d,149,2.0,3385.1166666666663
44424,0xb2d401d4,185,39.0,363210.3825
44425,0xb2d5999b,198,6.0,2135702.0666666664
44428,0xb2d33e98,254,6.0,988260.8319999998
44430,0x3b9b182f,98,46.0,568321.5216666666
44431,0xb2d60c3a,185,3.0,2150291.493333333
44434,0xb2d5c2fc,148,6.0,200118.4816666667
44435,0xb2d5b9d5,269,8.0,304108.17
44441,0xb2d10837,160,11.0,100.24
44442,0xb2d645a6,143,14.0,1410000.0
44445,0xb2d54e89,176,87.0,1039.7266666666667
44448,0xb2d27685,179,5.0,2144316.25
44450,0xb2d3e530,220,14.0,385008.035
44451,0xb2d3d099,124,3.0,67222.45916666667
44453,0xb2d4d1b8,117,5.0,685726.8057142858
44457,0xb2d3e734,178,2.0,35184.50666666667
44458,0xb2d3e94d,340,2.0,84364.26
44459,0xb2d4affb,197,3.0,57894.42666666667
44461,0xb2d5f029,161,4.0,24.37
44462,0xb2d55ccf,194,3.0,50724.39111111112
44464,0xb2d2d14e,126,16.0,290168.89
44465,0xb2d0d96f,408,24.0,42865.64875
44466,0xb2d08536,554,3.0,11177.731666666668
44468,0xb2d623f8,140,8.0,1734.2033333333331
44469,0xb2d5d5dd,266,2.0,116329.03666666668
44473,0xb2d2123e,187,358.0,11095.906666666668
44474,0xb2d55150,211,1.0,167457.95111111112
44475,0xb2d4463b,134,5.0,215584.5875
44476,0x3b9af114,387,3.0,2179194.28
44477,0xb2d2ff20,528,1.0,165750.0525
44478,0xb2d5fdd6,133,3.0,80905.534
44479,0xb2d4c9d5,94,2.0,3263987.5016666665
44480,0xb2d38dfa,570,408.0,5596.2
44482,0xb2d50ce6,365,6.0,94892.64714285715
44485,0xb2d50bcc,365,14.0,6301.253333333334
44486,0xb2d0a1e9,119,19.0,6630118.805000001
44487,0x3b9b0ff5,607,85.0,43798.20888888888
44488,0xb2d5bc1b,254,7.0,1000.3
44489,0xb2d59a5e,230,30.0,277459.38666666666
44490,0xb2d3e0cb,230,2.0,41767.016
44491,0xb2d1870c,391,391.0,18340.076666666664
44493,0xb2d3b49d,397,3.0,1800035.6083333334
44494,0xb2d2a68b,158,1.0,5903.946666666667
44497,0xb2d197f2,212,57.0,316631.49
44498,0xb2d2bb85,190,5.0,58128.275
44499,0xb2d342fa,248,3.0,9025.21
44501,0xb2d0f817,560,3.0,237383.19666666668
44503,0xb2d47ecf,280,3.0,280591.8216666666
44504,0xb2d0de6d,188,60.0,283336.06833333336
44505,0xb2d3097c,193,310.0,206408.1833333333
44509,0xb2d8a679,94,75.0,917505.48
44511,0xb2d548ce,198,13.0,24171.11111111111
44512,0xb2d53473,102,8.0,453752.5325
44517,0xb2d14b7b,393,46.0,8636.9
44518,0xb2d14e00,206,41.0,279346.14375
44519,0xb2d6a9ed,125,4.0,12018.276666666668
44521,0xb2d51e26,176,4.0,360024.17500000005
44522,0xb2d283c9,589,14.0,29675.704000000005
44524,0xb2d22537,351,21.0,322106.24
44525,0xb2d54bec,407,11.0,392017.3
44526,0xb2d63334,179,16.0,51632.497500000005
44528,0xb2d64999,242,5.0,200508.74666666667
44529,0xb2d27be0,424,10.0,4836.893333333333
44530,0xb2d6447a,114,28.0,65193.59
44531,0xb2d570af,241,84.0,54995.00333333333
44533,0xb2d3a234,371,3.0,1901311.1066666667
44535,0xb2d3b4fd,498,4.0,279241.134
44536,0xb2d56563,216,3.0,170219.43833333332
44539,0xb2d45bbc,365,4.0,380.61000000000007
44540,0xb2d62e00,221,10.0,45219.45166666666
44543,0xb2d59c9b,192,6.0,470000.0
44544,0xb2d40f87,534,7.0,13990.027499999998
44546,0xb2d54c19,117,11.0,746.6933333333333
44549,0xb2d2e00c,189,148.0,99129.38
44551,0xb2d6baaf,95,75.0,9410.693333333333
44552,0xb2d560c2,185,10.0,229859.4957142857
44553,0xb2d69c55,156,13.0,200003.22666666663
44555,0xb2d34d47,256,1.0,2062.81
44556,0xb2d2cbb4,423,2.0,73581.46666666667
44560,0xb2d637de,206,19.0,26690.91333333333
44562,0xb2d6e824,123,6.0,67399.65999999999
44565,0xb2d4ebda,441,2.0,28746.397
44566,0xb2d19a8c,575,15.0,1059868.925
44567,0xb2d4f573,96,43.0,2790.523333333333
44568,0xb2d44464,281,2.0,2039176.7066666668
44569,0xb2d43717,535,7.0,59830.96
44570,0xb2d07d41,315,24.0,204726.87222222224
44571,0xb2d64b9d,248,1.0,9088.214000000002
44573,0xb2d4ce13,220,60.0,2056.33
44575,0xb2d400db,244,3.0,3223203.3866666667
44579,0xb2d3e611,459,5.0,6923.563333333334
44580,0xb2d1c8c4,360,3.0,792909.275
44582,0xb2d15fb8,291,5.0,101547.54142857144
44583,0xb2d441be,424,2.0,83.14999999999999
44584,0xb2d382b1,124,5.0,32014.33333333333
44589,0xb2d600d6,156,3.0,227504.06666666668
44592,0xb2d327ee,220,8.0,8363.933333333332
44594,0xb2d62c3e,189,1.0,6071.147999999999
44601,0xb2d637ae,205,9.0,66255.2425
44602,0x3b9b3275,488,109.0,46613.24333333333
44604,0xb2d5a820,161,350.0,189245.46333333332
44608,0xb2d6c520,170,18.0,626704.9057142857
44609,0xb2d2b1f2,186,3.0,73502.76
44610,0xb2d2e492,439,3.0,53855.41888888888
44613,0xb2d083ce,472,21.0,334262.4911111111
44614,0xb2d2aca3,606,42.0,51104.89333333333
44615,0xb2d594b8,118,44.0,17779.318333333333
44616,0xb2d25c0c,610,3.0,444703.3566666667
44621,0xb2d2c029,105,37.0,76890.59800000001
44622,0xb2d61495,288,6.0,73856.26166666667
44624,0xb2d067d8,328,12.0,186921.3375
44626,0xb2d152aa,239,9.0,164906.55166666667
44627,0xb2d5c78e,271,45.0,2108.433333333333
44628,0xb2d2a9f7,153,3.0,1222605.6966666663
44630,0xb2d19861,250,2.0,369869.6
44632,0xb2d57b95,271,5.0,1303560.595
44634,0xb2d4f168,311,24.0,12913.61
44636,0xb2d25cd8,458,3.0,2977934.2266666666
44637,0xb2d62dfa,110,16.0,321674.80666666664
44640,0xb2d2166d,186,3.0,1050635.5733333337
44643,0xb2d2b615,200,145.0,5946.936666666667
44644,0xb2d68dfa,124,25.0,2954.28
44645,0xb2d20bf9,375,15.0,451626.1557142857
44646,0xb2d54c49,349,11.0,2140090.695
44648,0xb2d78b7d,102,4.0,57207.46166666667
44650,0xb2d28396,349,3.0,253302.31666666665
44651,0xb2d4ff5d,216,393.0,429242.6085714287
44652,0xb2d42442,306,6.0,376757.21
44656,0xb2d4327c,212,59.0,10814.184
44657,0xb2d12649,141,3.0,401790.1583333334
44658,0xb2d26f9e,246,4.0,76692.595
44659,0xb2d4a8f3,215,69.0,50813.34833333333
44661,0xb2d2c833,186,7.0,2067553.8833333333
44662,0xb2d31e0a,331,33.0,9.4
44663,0xb2d2d9f7,424,6.0,9226.666666666666
44665,0xb2d42c8e,413,19.0,227922.72666666663
44667,0xb2d3076c,271,5.0,334528.4244444444
44670,0xb2d62e3f,269,19.0,103882.10666666667
44671,0xb2d32f6b,195,3.0,40853.02166666667
44673,0xb2d2b4d7,106,12.0,113308.65799999998
44676,0x3b9b443f,122,9.0,5028.625
44680,0xb2d420c1,242,6.0,208830.1133333333
44681,0xb2d2af79,511,3.0,10135.241666666669
44682,0xb2d3956b,201,28.0,8833.593333333332
44683,0xb2d8f533,575,2.0,45000.6325
44684,0xb2d240f1,101,136.0,22193.35666666667
44685,0xb2d2d56b,296,62.0,74420.485
44686,0xb2d1724b,433,6.0,73546.315
44690,0xb2d3c757,133,5.0,120349.394
44691,0xb2d618d9,259,2.0,150200.455
44692,0xb2d364fc,104,5.0,87847.67166666668
44695,0xb2d6bff2,122,57.0,6288.083333333333
44696,0xb2d15abd,269,12.0,214441.12222222224
44697,0xb2d0e16a,487,12.0,28418.48
44698,0xb2d0e779,198,3.0,69502.1025
44699,0xb2d250f0,235,6.0,164728.80499999996
44701,0xb2d2766d,95,357.0,1401.4483333333335
44702,0xb2d58105,109,10.0,32834.22
44703,0xb2d075d0,562,2.0,601529.6514285716
44704,0xb2d3fe9e,214,7.0,91455.01
44705,0xb2d389cb,443,8.0,85940.485
44706,0x3b9aecbe,247,6.0,5815.413333333333
44707,0xb2d20500,465,16.0,85286.01999999999
44711,0xb2d2fd8e,391,26.0,1213.72
44712,0xb2d3f583,179,3.0,1081617.47
44714,0xb2d6f4de,111,13.0,15972.563333333334
44716,0xb2d0d6f9,104,443.0,55111.79
44719,0xb2d1a431,196,261.0,39198.08
44721,0xb2d6c4c9,92,10.0,3318.24
44722,0xb2d25309,231,5.0,126435.21444444444
44723,0xb2d5e672,180,3.0,48494.44333333333
44726,0xb2d1ccba,520,5.0,1019927.1816666666
44727,0xb2d39931,126,3.0,2478769.9599999995
44729,0xb2d50992,363,19.0,17282.46
44732,0xb2d23ef6,204,17.0,237594.8241666667
44733,0xb2d445b1,215,3.0,562546.5
44734,0xb2d42130,424,4.0,620494.0283333333
44739,0xb2d3eab2,450,2.0,834.56
44740,0xb2d2d0d9,431,11.0,2007.365
44743,0xb2d1163b,186,27.0,32079.4125
44745,0xb2d1cb70,341,1.0,267667.145
44746,0xb2d51316,228,5.0,355708.4116666666
44748,0xb2d612b5,281,7.0,173844.40555555554
44749,0xb2d1341a,298,3.0,175789.63333333333
44751,0xb2d1922e,186,27.0,30270.055
44753,0xb2d149c5,465,19.0,217520.775
44754,0xb2d6a2dc,122,7.0,19517.27666666667
44755,0xb2d1b058,181,1.0,210327.2333333333
44757,0xb2d12262,385,6.0,12724.052500000002
44760,0xb2d5af37,593,1.0,1674.0100000000002
44761,0xb2d5c650,208,39.0,373333.3333333333
44763,0xb2d1fe07,95,2.0,990972.4733333332
44764,0xb2d5b072,139,3.0,1006571.0816666668
44765,0xb2d3404e,375,12.0,1619.33
44766,0xb2d60a8a,273,3.0,11455.51
44767,0xb2d5d8ad,199,25.0,177621.52333333332
44768,0xb2d2204e,327,1.0,91120.1477777778
44769,0xb2d62c7a,269,32.0,67445.974
44770,0xb2d56eed,260,18.0,573333.3333333334
44771,0xb2d35680,372,16.0,302677.675
44772,0xb2d15604,334,4.0,285002.905
44773,0xb2d2e873,193,54.0,55379.66
44774,0xb2d6407b,241,9.0,366695.345
44776,0xb2d33295,91,6.0,184182.2311111111
44778,0xb2d566ad,129,1.0,60624.44
44779,0xb2d68ff8,183,126.0,594660.5266666667
44780,0xb2d20ad0,182,3.0,33756.762500000004
44781,0xb2d621e8,207,4.0,7529.557499999999
44783,0xb2d36cd9,212,75.0,401438.36
44785,0xb2d33ac0,595,12.0,6067624.550000001
44786,0xb2d307f0,248,77.0,1087121.558333333
44791,0xb2d24a7b,527,5.0,71823.93100000001
44792,0x3b9adca7,566,7.0,1519531.9883333333
44795,0xb2d36ef8,106,3.0,33769.05333333334
44796,0xb2d6c9c4,153,3.0,150131.47666666663
44797,0xb2d3438d,404,19.0,1161.02
44798,0xb2d86dca,92,3.0,500000.0
44799,0xb2d437f2,183,109.0,251883.53833333333
44801,0xb2d51d09,365,2.0,3400.8266666666664
44802,0xb2d6b845,116,4.0,8988.84
44803,0xb2d113d4,178,7.0,1848.5
44805,0xb2d1b007,591,160.0,8742.783333333333
44807,0xb2d3151f,184,3.0,185908.29166666663
44808,0xb2d3ab40,107,13.0,4954.196666666667
44809,0xb2d6097f,135,8.0,42852.223333333335
44810,0xb2d43444,420,3.0,83294.61166666666
44811,0xb2d06868,194,88.0,21039.646666666667
44812,0xb2d41029,214,23.0,213335.42222222223
44813,0xb2d16c51,94,15.0,114869.32916666668
44815,0xb2d1730e,383,6.0,10369.68
44819,0xb2d6b7e5,116,9.0,13834.493333333332
44821,0xb2d6e8b7,100,4.0,5545.243333333333
44822,0xb2d11aca,196,1.0,41145.2025
44827,0x3b9b46a9,524,107.0,146808.87166666667
44829,0xb2d42aae,345,10.0,101.86666666666667
44835,0xb2d60bfe,214,4.0,1110040.26
44837,0xb2d8a160,93,3.0,200000.0
44839,0xb2d5f419,155,5.0,187993.32875
44841,0x3b9af105,113,7.0,45989.21333333334
44842,0xb2d1342c,374,22.0,240947.44166666668
44843,0xb2d6c2d4,154,3.0,2000000.0
44844,0xb2d3b9e6,527,34.0,40759.67
44845,0xb2d40699,258,22.0,621547.3222222222
44846,0xb2d316a8,389,36.0,340843.70333333337
44847,0xb2d080e3,378,4.0,1667.8833333333334
44849,0xb2d5f200,104,5.0,137525.93666666668
44852,0xb2d34357,485,293.0,11372.166666666666
44853,0xb2d25909,628,12.0,152595.40333333332
44858,0xb2d30730,185,14.0,191507.6233333333
44864,0xb2d5f002,120,35.0,51115.658333333326
44866,0xb2d56179,385,8.0,114675.43
44869,0xb2d2baf2,448,4.0,90047.16333333333
44871,0xb2d1e2b0,205,5.0,114255.28444444443
44874,0xb2d78cc1,93,6.0,12048.548
44877,0xb2d15bbf,480,4.0,427956.2216666667
44879,0xb2d2e705,366,5.0,535700.8949999999
44880,0xb2d31e13,404,37.0,80653.37363636364
44881,0xb2d68f32,114,4.0,28060.615
44883,0xb2d331cf,498,3.0,313676.165
44885,0xb2d348ca,117,3.0,2225468.848333333
44886,0xb2d8f7c1,604,2.0,120426.286
44889,0xb2d59d9a,247,3.0,200459.60166666668
44890,0xb2d6e20c,117,13.0,80029.735
44891,0xb2d40915,215,131.0,10884.15
44892,0xb2d1a7f1,196,3.0,124731.2657142857
44893,0xb2d1c4ef,582,8.0,33459.22666666667
44898,0xb2d60928,277,6.0,32315.662
44899,0xb2d6ff76,123,4.0,63081.80666666667
44901,0xb2d5ab6e,352,2.0,200008.324
44902,0xb2d44b0f,147,6.0,51414.25833333334
44903,0xb2d1525f,402,149.0,4434.963333333333
44904,0xb2d1c033,251,3.0,429386.89333333337
44905,0xb2d4cb82,269,11.0,404251.138
44908,0xb2d53cd1,133,3.0,37672.274000000005
44909,0xb2d1ff09,99,27.0,835226.1059999999
44912,0xb2d3b26f,100,170.0,30812.946666666667
44914,0xb2d4d92f,93,5.0,33893.901666666665
44915,0xb2d3049f,443,2.0,346433.1016666667
44922,0xb2d59701,161,14.0,100307.22666666668
44923,0xb2d2e4ec,324,5.0,61884.655
44924,0xb2d29707,115,6.0,25333.90833333333
44927,0xb2d31e97,524,1.0,2783.12
44932,0xb2d5d172,187,2.0,72283.645
44933,0xb2d5af19,111,2.0,75602.11
44935,0xb2d219ac,195,2.0,191414.18
44939,0xb2d29365,300,3.0,51611.48499999999
44941,0xb2d5e690,128,3.0,170783.07333333333
44942,0xb2d19867,267,32.0,84691.98777777777
44943,0xb2d2f8db,214,14.0,1668039.39
44944,0xb2d4346e,419,4.0,505659.64
44947,0xb2d3a35d,399,2.0,26888.09166666667
44949,0xb2d12a8d,203,2.0,130032.81666666664
44951,0xb2d3fcf1,603,5.0,160613.587
44953,0xb2d693d6,172,35.0,248002.47800000003
44955,0xb2d3e857,140,8.0,332172.14666666667
44956,0xb2d5913d,281,4.0,440.6
44957,0xb2d20632,152,7.0,195267.8933333333
44958,0xb2d5adff,305,4.0,250025.21666666665
44960,0xb2d78187,93,3.0,337500.06
44963,0xb2d30580,280,37.0,12714.3
44964,0xb2d6fc70,592,4.0,55069.48666666666
44965,0xb2d59ee1,156,9.0,70.44000000000001
44966,0xb2d6217c,227,13.0,339332.58166666667
44967,0x3b9b39bc,289,9.0,102192.366
44971,0xb2d2112a,201,15.0,139118.05833333332
44972,0xb2d222ee,456,3.0,764288.9266666666
44974,0xb2d5583a,182,27.0,140817.0
44975,0xb2d8f51e,634,18.0,1746.725
44976,0xb2d52ffc,108,7.0,213245.15375
44977,0xb2d49a53,112,173.0,253.4666666666667
44980,0xb2d0f6df,203,518.0,55372.72666666666
44982,0xb2d39b83,448,16.0,4547894.391666667
44983,0xb2d094cf,162,5.0,112029.29
44985,0xb2d074b9,380,6.0,552958.9641666667
44987,0xb2d2c686,217,1.0,5528.7
44989,0xb2d3b97d,385,40.0,1031.45
44991,0xb2d1a2ab,212,12.0,229699.305
44994,0xb2d3bafd,102,5.0,130015.11666666664
44996,0xb2d34c33,553,8.0,1905.21
44998,0xb2d60ce5,209,6.0,12229.098333333332
45000,0xb2d5eab3,251,3.0,121252.56
45007,0xb2d1bb4d,232,11.0,405055.2583333333
45008,0xb2d153f4,208,7.0,107870.12888888888
45009,0xb2d694b4,158,10.0,5087.666666666667
45011,0xb2d41974,174,16.0,90330.768
45012,0xb2d53a8b,195,3.0,176466.087
45014,0xb2d70000,120,21.0,3680.4366666666665
45016,0xb2d167aa,392,12.0,116007.10166666668
45017,0x3b9ae60d,248,157.0,281481.8177777778
45018,0x3b9af08d,370,1.0,2424093.731111111
45019,0xb2d616a8,188,16.0,185475.6725
45020,0x3b9b3245,119,2.0,193137.94
45021,0xb2d6a3a8,91,8.0,27.05333333333333
45023,0xb2d3b07d,121,3.0,143058.36777777778
45024,0xb2d688f3,101,113.0,18038.28
45027,0xb2d62a97,200,7.0,398.1133333333333
45028,0xb2d34cff,207,14.0,333469.15125
45029,0xb2d39ccd,355,19.0,47709.55
45030,0xb2d2d6b2,250,18.0,111230.70555555556
45032,0xb2d16b6a,137,63.0,1291.3366666666666
45033,0xb2d33a48,193,8.0,2585729.65
45035,0xb2d3d4cb,541,3.0,104321.37
45038,0xb2d4e490,404,4.0,2369747.035
45039,0xb2d0cdde,215,29.0,27638.853333333333
45041,0xb2d57706,349,2.0,65038.30666666666
45042,0xb2d5c464,226,6.0,229917.02166666664
45044,0xb2d56332,276,2.0,13448.24
45046,0xb2d58dc5,115,176.0,17421.54
45047,0xb2d2419c,271,10.0,1690824.5185714285
45049,0xb2d3906d,91,128.0,1208.2
45050,0x3b9b41d2,112,135.0,66448.61833333333
45051,0x3b9b48f2,448,311.0,26618.48833333333
45052,0xb2d626ad,263,4.0,33552.926666666666
45055,0xb2d5ba83,167,25.0,241229.6122222222
45056,0xb2d53155,121,16.0,3422.0166666666664
45058,0xb2d62fcb,192,5.0,5089.632857142856
45060,0xb2d5e342,186,1.0,70567.78833333333
45061,0xb2d0eab2,478,4.0,90078.38
45062,0xb2d59986,247,296.0,5382.06
45064,0xb2d41a46,105,7.0,25575.515
45066,0xb2d14fc8,427,14.0,94619.88555555556
45067,0xb2d4e9bb,307,7.0,1174224.5649999997
45070,0xb2d4c963,468,3.0,67572.402
45072,0xb2d0ba7c,100,26.0,53927.81833333333
45073,0xb2d436b4,258,120.0,8246.616666666667
45076,0xb2d5c923,244,4.0,16077.013333333334
45080,0xb2d5a16f,154,3.0,88078.7588888889
45082,0xb2d58dd7,267,6.0,40159.87333333333
45083,0xb2d3270d,104,6.0,76087.47666666667
45084,0xb2d39dd5,422,6.0,92443.147
45085,0xb2d63c73,227,5.0,35258.89666666667
45086,0xb2d24e1a,99,3.0,445579.185
45087,0xb2d3c610,284,1.0,590838.37
45088,0xb2d3ead0,159,11.0,1681.8666666666666
45089,0xb2d12db1,218,2.0,1629.22
45091,0xb2d2be5b,525,83.0,63154.18700000001
45092,0xb2d0eb39,405,4.0,243049.8825
45094,0xb2d19ec4,368,5.0,95226.07222222222
45095,0xb2d3252d,327,10.0,3199.4733333333334
45096,0xb2d47ca4,233,5.0,12006.165
45097,0xb2d0a76b,630,202.0,45931.235
45101,0xb2d17e15,119,14.0,175647.255
45103,0xb2d78ff4,110,4.0,38935.52333333334
45106,0xb2d6598c,136,5.0,220132.4933333333
45108,0xb2d6b4df,168,31.0,6821.87
45109,0xb2d2b375,620,37.0,11800.016666666668
45110,0xb2d3010f,187,7.0,11021.6
45111,0xb2d18d45,297,24.0,16204.1
45112,0xb2d2111b,435,21.0,22137.884
45113,0xb2d5bcb1,207,4.0,87673.26833333333
45114,0xb2d5ea6b,120,1.0,10287.556666666664
45115,0xb2d5f026,116,2.0,20175.47
45117,0xb2d46ac8,344,4.0,66671.31333333332
45118,0xb2d25393,93,44.0,642408.6177777777
45120,0xb2d10582,544,3.0,53621.50000000001
45122,0xb2d52bcd,267,9.0,27843.05888888889
45125,0xb2d4c042,353,8.0,243106.13111111108
45127,0xb2d200bc,301,3.0,590743.57
45128,0xb2d067db,618,25.0,404956.09
45129,0xb2d629f8,93,21.0,32846.19333333333
45131,0xb2d28417,606,7.0,241715.25500000003
45132,0xb2d1d656,412,7.0,435075.32
45133,0xb2d3f63d,383,34.0,3082060.428333333
45134,0x3b9b125c,249,47.0,533632.0914285714
45135,0xb2d44d19,523,2.0,6729.776666666668
45136,0xb2d6c814,152,3.0,570716.7488888889
45137,0x3b9b25d9,570,44.0,250989.2133333333
45144,0x3b9b17fc,631,126.0,8899.807272727272
45145,0xb2d6092e,294,8.0,500018.445
45147,0xb2d37504,523,13.0,145960.975
45148,0xb2d7c1ad,92,3.0,67767.08111111111
45149,0xb2d50c20,224,24.0,389875.7077777778
45150,0xb2d81e6e,95,13.0,90534.46250000002
45151,0xb2d6245e,188,73.0,1645.4899999999998
45153,0xb2d5ae08,350,5.0,83048.735
45154,0xb2d41086,453,7.0,49272.17375
45157,0xb2d2caf4,229,21.0,1497980.682
45164,0xb2d6ee45,126,24.0,21578.192
45166,0xb2d219bb,245,4.0,56218.46166666667
45168,0xb2d56ecc,368,16.0,103582.81
45170,0xb2d20ac7,185,65.0,7164.071666666667
45171,0xb2d59e5a,365,286.0,1320.59
45172,0xb2d6488b,226,5.0,26013.69428571428
45174,0xb2d523e1,374,274.0,5595.693333333333
45175,0xb2d09fe2,369,37.0,116523.34833333334
45177,0xb2d6e962,92,1631.0,33170.020000000004
45178,0xb2d4c95a,290,51.0,1754.0766666666668
45179,0xb2d5515c,193,187.0,150617.16416666668
45180,0xb2d5b285,102,3.0,30316.331666666665
45182,0xb2d2b2e2,127,10.0,28604.87
45185,0xb2d5d487,168,77.0,2603.92
45187,0xb2d579fa,378,6.0,48082.39666666667
45189,0xb2d06c67,633,379.0,32527.213333333333
45190,0xb2d2490d,562,6.0,123014.75714285715
45191,0xb2d4536d,393,4.0,766248.2616666667
45193,0xb2d21bb3,279,5.0,54677.86888888889
45198,0xb2d36a60,158,194.0,3442.4266666666663
45199,0xb2d07a20,559,69.0,236679.45142857145
45203,0xb2d5dd75,172,15.0,8962.2875
45207,0xb2d2f60e,126,5.0,135017.10166666663
45209,0xb2d0959e,377,31.0,19511.050000000003
